iter	RMSE
0	14.6172649
1	14.28521267
2	13.9430432
3	13.60613749
4	13.28392577
5	13.01464276
6	12.7380751
7	12.49371425
8	12.2515014
9	11.97603596
10	11.6965684
11	11.47299917
12	11.24156845
13	11.01471739
14	10.78244541
15	10.55366536
16	10.38139284
17	10.18813625
18	10.00098826
19	9.818357526
20	9.639341915
21	9.461183982
22	9.314324558
23	9.157980661
24	8.999514639
25	8.85171358
26	8.72065582
27	8.60096725
28	8.478619112
29	8.357291408
30	8.236389348
31	8.121986954
32	8.018019367
33	7.90093543
34	7.803962845
35	7.70617348
36	7.618684114
37	7.529722595
38	7.437014068
39	7.348346714
40	7.276429802
41	7.190374637
42	7.103462868
43	7.022147979
44	6.953487782
45	6.896465205
46	6.82486959
47	6.758032193
48	6.698518402
49	6.639282616
50	6.588003396
51	6.536674263
52	6.497201246
53	6.442442605
54	6.389838957
55	6.346666796
56	6.299851137
57	6.256100571
58	6.223544203
59	6.186704658
60	6.144188151
61	6.112065935
62	6.072947607
63	6.041574471
64	6.010048755
65	5.976131004
66	5.944115716
67	5.912163326
68	5.891189629
69	5.865131336
70	5.836077171
71	5.810763695
72	5.785559995
73	5.760327577
74	5.740625466
75	5.714690949
76	5.692737899
77	5.665263849
78	5.644696315
79	5.619775377
80	5.599773557
81	5.579142282
82	5.562980804
83	5.539850133
84	5.519607361
85	5.504740991
86	5.488404114
87	5.470058308
88	5.451436503
89	5.436617756
90	5.423026753
91	5.406822582
92	5.397198719
93	5.384402762
94	5.369994877
95	5.354464435
96	5.341047832
97	5.329877529
98	5.315610548
99	5.304519331
100	5.290994923
101	5.279787824
102	5.271068656
103	5.259800648
104	5.244047635
105	5.233801792
106	5.224542033
107	5.211297139
108	5.202522712
109	5.193647089
110	5.186749758
111	5.175746746
112	5.167583493
113	5.160022985
114	5.152083862
115	5.144185699
116	5.133440265
117	5.123741858
118	5.112874503
119	5.106875106
120	5.096947209
121	5.087787007
122	5.080384138
123	5.074847352
124	5.070885487
125	5.064077597
126	5.059671577
127	5.050854918
128	5.044709478
129	5.039812444
130	5.029136213
131	5.024644377
132	5.018981185
133	5.01103696
134	5.002517516
135	4.997156542
136	4.989220533
137	4.985140454
138	4.982183043
139	4.976327984
140	4.971484843
141	4.965507211
142	4.961827338
143	4.959138186
144	4.951874644
145	4.948102598
146	4.942957643
147	4.937693483
148	4.933555307
149	4.922686132
150	4.918798206
151	4.913769962
152	4.905493133
153	4.898167235
154	4.892363218
155	4.887489483
156	4.883183869
157	4.878387636
158	4.87449817
159	4.871313969
160	4.8675087
161	4.86336233
162	4.858928817
163	4.851660646
164	4.849412943
165	4.845822617
166	4.840910386
167	4.835804742
168	4.832847833
169	4.828324289
170	4.82320669
171	4.817907306
172	4.811188412
173	4.807967375
174	4.803509092
175	4.797439034
176	4.791591623
177	4.789327945
178	4.785430224
179	4.781744626
180	4.773327492
181	4.765292299
182	4.759469032
183	4.752720859
184	4.748634087
185	4.74817295
186	4.74236211
187	4.739734415
188	4.729873968
189	4.725814953
190	4.719443528
191	4.717221391
192	4.713642157
193	4.707801226
194	4.704932921
195	4.699886482
196	4.697149929
197	4.693142353
198	4.685725451
199	4.682663723
200	4.680335123
201	4.673854301
202	4.667114396
203	4.665638948
204	4.659405922
205	4.654506638
206	4.653557605
207	4.6475963
208	4.644587471
209	4.640915902
210	4.638117172
211	4.635753816
212	4.632557364
213	4.628644307
214	4.62672334
215	4.622243725
216	4.617786552
217	4.613260135
218	4.607175611
219	4.60123794
220	4.595323315
221	4.591698476
222	4.586297674
223	4.579613537
224	4.575340539
225	4.571116711
226	4.564981212
227	4.560111127
228	4.553264652
229	4.54935764
230	4.544728466
231	4.541341355
232	4.538900897
233	4.537480728
234	4.533748391
235	4.528938867
236	4.524865744
237	4.521045254
238	4.514253633
239	4.51032659
240	4.50669019
241	4.502427012
242	4.497530326
243	4.492686578
244	4.490498587
245	4.48854079
246	4.484107771
247	4.481974033
248	4.479099514
249	4.476462945
250	4.474563223
251	4.471993008
252	4.467790682
253	4.463575226
254	4.458998567
255	4.456094957
256	4.451354216
257	4.448837111
258	4.44696409
259	4.444491409
260	4.441506827
261	4.440458733
262	4.43584128
263	4.433691502
264	4.425805714
265	4.421699925
266	4.419081772
267	4.414465031
268	4.40692799
269	4.400465665
270	4.396254619
271	4.393868625
272	4.391093386
273	4.387657863
274	4.383505309
275	4.380447892
276	4.376681841
277	4.371803788
278	4.368907113
279	4.364449277
280	4.363668924
281	4.357230795
282	4.350801121
283	4.348618434
284	4.346851007
285	4.341498211
286	4.337259436
287	4.334088208
288	4.328344452
289	4.325766235
290	4.323319077
291	4.32073835
292	4.316246913
293	4.312766897
294	4.30907267
295	4.305987535
296	4.304334514
297	4.304007455
298	4.299345246
299	4.297367141
300	4.291985187
301	4.287431471
302	4.282499386
303	4.282102997
304	4.27991034
305	4.277142225
306	4.272278886
307	4.269567559
308	4.266771402
309	4.262547228
310	4.257541198
311	4.253644739
312	4.251169887
313	4.245040902
314	4.238864054
315	4.236047905
316	4.230872738
317	4.225405666
318	4.220653191
319	4.214917279
320	4.214249777
321	4.213702638
322	4.207934299
323	4.205628132
324	4.200638241
325	4.197906081
326	4.194628314
327	4.192599043
328	4.187839958
329	4.182742225
330	4.176196028
331	4.174201096
332	4.16894952
333	4.166225902
334	4.163299459
335	4.160837485
336	4.158024173
337	4.153683668
338	4.148065012
339	4.143425351
340	4.138937282
341	4.135681689
342	4.129989489
343	4.125655586
344	4.120730288
345	4.116339893
346	4.113367624
347	4.110850055
348	4.10674487
